,gene name,G1,G2,G3,C1,C2,C3,Young_mean,Aging_mean,logFC,pvalue,padj,classification
TDRD6,TDRD6,223.983184626688,258.611401896452,330.372818042563,134.56027619372,122.594580636522,120.110359833191,125.755072221144,270.989134855234,-1.107612269,0.010111197487429,0.0363630035148575,Down in Young
TDRD7,TDRD7,754.423982327877,800.54792327673,720.248267291718,523.784215597042,521.02696770522,487.053018773122,510.621400691795,758.406724298775,-0.570716829,0.000686198941678769,0.00630940985430307,Down in Young
TEDC1,TEDC1,147.585819327663,212.714497805614,199.822268977357,106.75856623634,96.4864755009667,96.9698317919339,100.071624509747,186.707528703545,-0.89974046,0.01273787454546,0.0430631653860377,Down in Young
TEDC2,TEDC2,170.157768166011,187.118147447262,150.976825449559,71.1723774908932,77.1891804007734,81.5428130977626,76.6347903298097,169.417580354277,-1.144501886,0.00103168230290217,0.00795680958658846,Down in Young
TEFM,TEFM,296.039790533724,324.808859719776,317.051333444073,196.836106498252,178.216195925315,208.264752371313,194.43901826496,312.633327899191,-0.685151023,0.000649298644623077,0.00613069662278166,Down in Young
TEKT2,TEKT2,7.81336690558216,7.94369493879887,7.10479178586158,2.22413679659041,4.54054002357491,1.10192990672652,2.62220224229728,7.62061787674754,-1.538768238,0.0087672486083991,0.032856611231931,Down in Young
TENT5C,TENT5C,37.3305307711147,50.3100679457261,39.0763548222387,10.0086155846569,9.08108004714981,8.81543925381217,9.30171162853963,42.2389845130265,-2.182886095,0.00128251487974554,0.00911123224498615,Down in Young
TERB1,TERB1,1.73630375679603,2.64789831293296,3.55239589293079,0,0,0,0,2.64553265421993,-11.36988774,0.00725039013528159,0.0288303740088606,Down in Young
TESPA1,TESPA1,447.098217374979,474.856430785977,426.287507151695,261.336073599374,286.054021485219,282.094056121989,276.494717068861,449.414051770884,-0.700791311,0.00041790805284326,0.00472339142155734,Down in Young
TEX10,TEX10,2210.31468240135,2249.83093322203,2273.53337147571,1446.80098618206,1410.9728123259,1571.35204699202,1476.37528183333,2244.55966236636,-0.604372622,0.000122054640432557,0.00249098025163647,Down in Young
TEX13D,TEX13D,302.985005560908,269.202995148184,293.960760140023,101.198224244864,59.0270203064738,98.0717616986604,86.0990020833327,288.716253616372,-1.745572147,0.000278175680973466,0.00373730536814838,Down in Young
TEX14,TEX14,13.0222781759703,15.0047571066201,12.4333856252578,1.11206839829521,1.13513500589373,1.10192990672652,1.11637777030515,13.4868069692827,-3.593466865,9.13729580575957e-05,0.00218562350012744,Down in Young
TEX21P,TEX21P,54.6935683390751,43.2490057779049,56.8383342868926,28.9137783556754,22.7027001178745,14.3250887874448,21.9805224203316,51.5936361346242,-1.230929779,0.00771078468321937,0.0301441385681431,Down in Young
TEX264,TEX264,822.139828842922,835.853234115836,853.463113276622,529.344557588518,522.162102711114,528.92635522873,526.811005176121,837.152058745127,-0.668203196,4.93390532748331e-06,0.000663851598872306,Down in Young
TEX36,TEX36,9.54967066237819,8.82632770977652,11.5452866520251,1.11206839829521,3.40540501768118,1.10192990672652,1.87313444090097,9.9737616747266,-2.412057923,0.0019202242174904,0.0117758213902427,Down in Young
TEX46,TEX46,3.47260751359207,4.41316385488826,3.55239589293079,0,0,0,0,3.81272242047037,-11.89698413,0.000223988496243874,0.00335543850819091,Down in Young
TFCP2L1,TFCP2L1,2.60445563519405,5.29579662586591,5.32859383939619,0,0,0,0,4.40961536681872,-12.10676424,0.00812951109696754,0.0312079625919111,Down in Young
TFIP11,TFIP11,1243.19348986596,1260.39959695609,1302.84119373237,809.585793958911,927.405299815174,856.199537526507,864.396877100197,1268.81142685147,-0.553711372,0.000467759412348201,0.0050239999008696,Down in Young
TFIP11-DT,TFIP11-DT,301.248701804112,272.733526232094,291.296463220325,150.129233769853,178.216195925315,191.735803770415,173.360411155194,288.426230418844,-0.734424574,0.00148754174528635,0.0100046375952334,Down in Young
TFPI2,TFPI2,15555.5453571357,13721.4090576186,15295.7286159868,5111.06635856477,5167.13454682824,4939.951772,5072.71755908267,14857.561010247,-1.550366377,7.09303296513611e-05,0.00191496419975872,Down in Young
TGFA,TGFA,6.94521502718414,8.82632770977652,6.21669281262888,0,0,2.20385981345304,0.73461993781768,7.32941184986318,-3.316861769,0.00351312888688431,0.0173671030084285,Down in Young
TGM2,TGM2,2118.29058329116,2401.64376983019,1946.71294932607,640.551397418039,958.053944974305,935.538490810817,844.71461106772,2155.54910081581,-1.351518476,0.00143939339587313,0.00980871519450346,Down in Young
THAP1,THAP1,332.502169426441,281.559853941871,314.387036524375,202.396448489728,203.189166054977,233.609140226023,213.064918256909,309.483019964229,-0.538565079,0.00598500701467149,0.0253630295553273,Down in Young
THAP10,THAP10,397.613560306292,391.0063175,370.337271838035,149.017165371558,143.02701074261,148.76053740808,146.934904507416,386.319049895809,-1.394609586,9.21605573858881e-06,0.000885797999348373,Down in Young
THAP2,THAP2,414.108445995854,349.52257730715,433.392298937556,133.448207795425,149.837820777972,133.333518713909,138.873182429102,399.007774080187,-1.522642053,0.000556457005228975,0.00558193115010281,Down in Young
THNSL1,THNSL1,333.370321304839,353.935741162038,321.491828310237,171.258533337462,148.702685772078,212.672471998219,177.544563702586,336.265963592371,-0.921417736,0.00164012605232308,0.0106220165645238,Down in Young
THNSL2,THNSL2,35.5942270143187,45.8969040908379,39.9644537954714,21.1292995676089,14.7567550766184,4.40771962690609,13.4312580903778,40.485194966876,-1.591728204,0.00907448415061609,0.0336968657742317,Down in Young
THOC3,THOC3,578.18915101308,575.476566677429,551.509462377505,414.801512564112,430.216167233722,346.005990712128,397.007890169987,568.391726689338,-0.51771678,0.00326005740887149,0.0165237976198988,Down in Young
TIAF1,TIAF1,224.851336505086,292.151447193603,256.66060326425,147.905096973263,133.94593069546,94.7659719784808,125.538999882401,257.887795654313,-1.038601982,0.00621403814201982,0.0260350215403596,Down in Young
TIGAR,TIGAR,201.41123578834,174.761288653575,202.486565897055,120.103387015882,98.7567455127542,115.702640206285,111.520924244974,192.886363446323,-0.790431272,0.0018819954752537,0.0116133005934337,Down in Young
TIGD1,TIGD1,240.478070316251,238.310848163966,258.436801210715,174.594738532347,160.054035831015,149.862467314807,161.503747226056,245.741906563644,-0.605573202,0.000930444211515668,0.0075228275365969,Down in Young
TIGD7,TIGD7,128.486478002907,117.390158540028,134.99104393137,71.1723774908932,86.2702604479232,70.5235140304974,75.9887173231046,126.955893491435,-0.740462616,0.0021805897762436,0.0127563471385782,Down in Young
TIMM17A,TIMM17A,1532.2880653725,1780.27029906192,1918.29378218263,1059.80118357533,1211.18905128861,1111.84727588706,1127.61250358367,1743.61738220568,-0.628811659,0.00709814653125081,0.0284350831187987,Down in Young
TIMM8A,TIMM8A,409.767686603864,406.01107464972,464.475763000701,279.129167972097,314.432396632562,238.016859852929,277.192808152529,426.751508084762,-0.622504601,0.00676087035013687,0.0275611505447618,Down in Young
TIPIN,TIPIN,297.77609429052,306.273571529245,326.820422149633,141.232686583491,166.864845866378,160.881766382072,156.32643294398,310.290029323133,-0.989051018,0.000185441640870583,0.00302436014692557,Down in Young
TJAP1,TJAP1,878.569700938794,927.647042297512,825.932045106409,658.344491790763,533.513452770051,547.659163643081,579.839036067965,877.382929447572,-0.597553331,0.00376961115040035,0.0182116057817409,Down in Young
TJP3,TJP3,89.4196434749958,73.2585199911451,64.8312250459869,11.1206839829521,20.4324301060871,7.71350934708565,13.0888744787083,75.8364628373759,-2.534459436,0.0015344013141866,0.0101951619257428,Down in Young
TKFC,TKFC,638.959782500941,652.265617752485,594.138213092675,429.25840174195,416.594547162998,380.16581782065,408.672922241866,628.454537782034,-0.620860493,0.000661860070232164,0.00620434296052165,Down in Young
TKTL2,TKTL2,5.2089112703881,6.17842939684356,6.21669281262888,0,0,1.10192990672652,0.36730996890884,5.86801115995351,-3.9941251,0.000368995801077499,0.00438895087171427,Down in Young
TLCD3B,TLCD3B,7.81336690558216,7.94369493879887,12.4333856252578,1.11206839829521,1.13513500589373,1.10192990672652,1.11637777030515,9.39681582321294,-3.07220847,0.00549913224790897,0.0238861164587779,Down in Young
TLR2,TLR2,1.73630375679603,1.7652655419553,2.66429691969809,0,0,0,0,2.05528873948314,-11.00582714,0.00251547290184015,0.0139287771484808,Down in Young
TLR6,TLR6,370.700852075953,341.578882368351,371.225370811268,169.034396540871,131.675660683672,107.989130859199,136.233062694581,361.168368418524,-1.406588073,0.000376595525250059,0.00444817529514108,Down in Young
TLR8-AS1,TLR8-AS1,141.508756178877,137.690712272514,160.745914155118,115.655113422702,98.7567455127542,91.4601822583013,101.957347064586,146.648460868836,-0.524391877,0.0115125558396195,0.0400079091692113,Down in Young
