,gene name,logFC,pvalue,padj,G1,G2,G3,B1,B2,B3,classification
CARD16,CARD16,1.17084566297895,3.13332293137226e-16,1.14495726261483e-14,165.720144452729,177.382095617398,172.449141574303,366.649777374662,404.904443125638,389.248066837504,Up
CARD19,CARD19,0.70607438795296,3.83494203043084e-06,3.63540033128647e-05,222.486160784603,205.243157756257,186.50749550699,363.516018593682,344.277039876879,294.335524512743,Up
CARMN,CARMN,1.08895843072331,1.13007355808979e-08,1.66697222036339e-07,162.973401726993,160.665458334083,125.587961798677,236.076494833828,370.260212697776,349.790043623839,Up
CARNMT1,CARNMT1,0.520867737399357,1.77044205293542e-05,0.000145562113916344,386.375143420175,362.193807805159,372.077767418468,517.070198861703,492.597651396164,598.268946563945,Up
CASK,CASK,0.853510291163748,2.1548778958455e-20,1.11221182664444e-18,791.977485920502,712.314488683479,763.837230342699,1411.23603770134,1242.86176659955,1443.95036300817,Up
CASP1,CASP1,0.836465842901008,3.08128905410179e-13,8.39078840932261e-12,330.52470799688,367.76602023293,330.839929215918,637.19761879927,611.68719349194,588.671049025486,Up
CASP12,CASP12,4.28795517890749,7.87700981750019e-05,0.000558488269315961,0,2.78610621388584,0,15.6687939049001,20.5700118165431,18.1293620170892,Up
CBR1,CBR1,0.677534085346999,3.23761141443498e-11,6.88079602345369e-10,583.225038764577,537.718499279966,530.468555060083,917.146736566819,920.237370740087,804.090527110899,Up
CCDC102B,CCDC102B,1.48619507364832,2.56175917820564e-27,2.04081510681152e-25,242.628940773333,195.027434972009,186.50749550699,548.407786671503,572.712434260595,628.12907223915,Up
CCDC149,CCDC149,0.668023301016528,0.000379974606376981,0.0022789592244055,130.928069926742,114.230354769319,125.587961798677,222.496873449581,188.378003,178.094320991406,Up
CCDC22,CCDC22,0.57070398972143,0.000498920784907034,0.00289423699105274,184.94734353288,169.023776975741,156.51634045059,274.726186465915,238.179084191552,245.279603760619,Up
CCDC39,CCDC39,0.812693622353965,0.00781558421733322,0.0309104789304705,53.1036926975596,38.0767849231064,36.5517202249881,82.5223145658072,76.866886261819,65.0524166495555,Up
CCDC57,CCDC57,0.512216943882764,6.6304120054707e-07,7.22529009194284e-06,591.465266941785,702.098765899231,616.693125847234,844.025698343952,963.542658774914,917.132431452749,Up
CCDC65,CCDC65,0.732269530407321,0.00508740508274422,0.0214535780342848,64.090663600503,55.7221242777167,63.731204494851,82.5223145658072,120.172174296647,102.377573743563,Up
CCDC69,CCDC69,1.04014523090533,2.03002686564455e-17,8.25265438312424e-16,860.646054063898,732.745934251975,746.029982027961,1993.07058470329,1420.41344754235,1397.0273083757,Up
CCDC80,CCDC80,1.37445084772769,5.53603877399367e-93,3.83812071974286e-90,4353.58722029131,4108.57796341031,4132.21883261468,10336.1810459324,11914.3673705819,10404.1209316896,Up
CCDC81,CCDC81,1.11574214652422,0.000134022091602464,0.000903056131806257,40.285559977459,40.8628911369923,40.3006146070381,82.5223145658072,106.097955685328,74.6503141880145,Up
CCDC85A,CCDC85A,1.5904339457239,4.24817278960144e-15,1.39710421024174e-13,70.4997299605533,80.7970802026893,69.3545460679261,252.789874999055,204.61748596456,206.888013606783,Up
CCDC88A,CCDC88A,0.547694885507531,8.14365408471805e-12,1.89737524596901e-10,1762.49324901383,1551.86116113441,1768.54092473211,2399.41463997037,2363.38609450072,2667.14908263177,Up
CCIN,CCIN,1.17281245749668,0.00162802568955012,0.0081471156824697,26.5518463487798,17.6453393546103,33.7400494384505,61.6305893592737,67.1231964539828,46.9230546324662,Up
CCL2,CCL2,1.34408475905425,2.82345852858454e-22,1.65359265240298e-20,488.92020518098,400.270592728265,345.835506744118,1148.00030009901,841.205220076526,1146.41553931594,Up
CCL7,CCL7,1.43673971034509,1.78255741472568e-06,1.80664412495232e-05,44.8634645203521,34.3619766379253,29.9911550564005,90.8790046484205,83.3626794670431,121.573368820481,Up
CCM2,CCM2,0.563810182724003,6.43821091907699e-07,7.02778665941119e-06,552.095287872905,565.579561418825,590.450865172884,976.688153405439,798.982564242569,748.636007999802,Up
CCN2,CCN2,0.778181478879468,6.67064914188905e-28,5.50210584526489e-26,6901.6488888656,7271.73721824203,8286.93103152165,13327.876095508,12137.3896039613,13052.0742192444,Up
CCN3,CCN3,1.26436233732045,4.75846728280748e-13,1.27548801189736e-11,151.98643082405,132.804396195225,140.583539326877,417.834504130669,295.558590837698,308.199154290517,Up
CCN4,CCN4,1.27599937372816,2.53513402342128e-36,3.36949523154418e-34,375.388172517232,368.694722304226,388.947792137693,886.853735017345,953.798968967078,903.268801674975,Up
CCND1,CCND1,0.529962777759651,7.60176276232833e-10,1.31313413049997e-08,3202.70201820799,3658.1574588321,3346.82545957519,5315.89947880244,4206.02610038263,5215.92409562255,Up
CCND3,CCND3,0.537417845502362,9.95068518716927e-06,8.64977893667455e-05,378.134915242968,344.548468450548,374.889438205006,588.102064563917,500.176076802259,504.422837299012,Up
CCNL2,CCNL2,0.69779803958017,6.47510014590561e-15,2.08667423294938e-13,2199.22534240583,2413.69668329643,2292.44891462361,3227.77154440942,4275.31456123836,3698.3898514862,Up
CCNQ,CCNQ,0.56923903962764,0.00430107107960445,0.0186685406656537,114.447613572327,105.872036127662,114.341278652527,178.624250515861,141.82481831406,175.961454871748,Up
CCR1,CCR1,0.921694368505814,7.2512338986983e-06,6.45863374893781e-05,134.590393561056,141.162714836882,123.713514607652,317.554223139309,179.716945344535,259.143233538393,Up
CD109,CD109,0.96615719053978,4.05625275774612e-45,7.53992722765968e-43,2457.419159,2493.56506142782,2429.28355956844,4444.71453768999,4835.0354090885,5139.14091531488,Up
CD24,CD24,0.903098995636968,0.00253003606674579,0.0118756606009448,40.285559977459,37.1480828518112,43.1122853935757,82.5223145658072,66.0405642531121,76.783180307672,Up
CD248,CD248,1.06020807786327,4.2210507742848e-45,7.78981255121969e-43,2962.8198201604,2946.77167221992,2454.58859664728,5767.16074326356,5978.29501320795,5696.88540560533,Up
CD276,CD276,0.956857939168129,3.76448712561849e-29,3.31844067856926e-27,1126.1645175517,1012.28525771185,950.34472584969,2119.46552220282,1919.50689214373,1956.90466478581,Up
CD34,CD34,1.11213839099294,0.000679449223953671,0.00379400852388448,35.707655434566,33.43327457,31.8656022474255,57.452244317967,67.1231964539828,93.8461092649325,Up
CD36,CD36,1.76289371943586,4.00176452759525e-111,4.27721931924472e-108,706.82846142269,704.884872113117,778.832807870899,2508.05161104434,2385.03873851813,2540.24354851215,Up
CD37,CD37,0.936527773996456,0.000284950706821391,0.00177029681070049,65.9218254176602,72.4387615610317,48.7356269666507,98.1911084707072,137.494289510578,122.63980188031,Up
CD4,CD4,0.557537079822574,0.0080785561843501,0.0318083074813429,85.1490244978112,110.515546484138,100.282924719839,139.974558883774,152.651140322767,142.902030017056,Up
CD58,CD58,0.507006621758311,4.6546367042788e-05,0.000347398140058655,596.043171484678,422.559442439352,517.347424722908,705.095725720504,701.545666164207,776.363267555351,Up
CD63,CD63,0.578330529749798,1.71253958597235e-29,1.55780373969371e-27,7795.25585563832,7969.19247378479,7949.53053713715,11801.7355691708,12011.8042686603,11594.2602264585,Up
CD81,CD81,0.620056421645053,1.89106737176552e-23,1.20371365311487e-21,5780.06227585679,5225.80655517853,5162.22756408293,8309.68370089868,8487.83645482621,8052.63603476711,Up
CDC42BPA,CDC42BPA,0.79408513363559,8.04494597064449e-39,1.14015996706615e-36,3653.16782522867,3471.48834250175,3668.29315283598,6541.19916216563,6032.42662325149,6140.52155849411,Up
CDC42BPB,CDC42BPB,0.83373322110066,6.82247907449155e-38,9.40915232359447e-36,1854.05133987169,1916.84107515346,1904.43834608143,3434.5996239541,3429.77881235835,3250.48796635812,Up
CDC42EP4,CDC42EP4,0.525973847290701,2.25372730774177e-09,3.69173773296245e-08,872.54860587542,878.552159445334,821.945093264475,1280.6627551605,1144.34223632032,1279.71967179453,Up
CDC42EP5,CDC42EP5,0.88123660953355,5.33305066226512e-10,9.45427889346405e-09,262.771720762062,232.17551782382,210.875308990316,459.617954543736,452.540259963948,388.181633777675,Up
CDH13,CDH13,0.95475079639684,2.33513612571355e-22,1.37631495437377e-20,466.946263375093,478.281566717069,447.992878654982,920.280495347799,867.188392897423,912.866699213434,Up
CDH18,CDH18,0.769189926116089,5.46477931695565e-06,5.01009717793232e-05,199.596638070138,189.455222544237,182.75860112494,274.726186465915,401.656546523026,298.601256752058,Up
CDH2,CDH2,0.501078311907416,1.1249047858314e-19,5.52798037665653e-18,5623.49794048985,5399.47384251075,5664.57941127764,8041.22503199473,7888.05821554385,7687.91592830566,Up
CDH5,CDH5,2.17298748213545,0.00117569312080181,0.00613637478278334,3.66232363431446,5.57221242777167,4.68611797756257,22.9808977271868,19.4873796156724,20.2622281367468,Up
CDH6,CDH6,1.53186672047863,1.79882284972632e-12,4.55962487561063e-11,75.0776345034464,67.7952512045554,52.4845213487008,182.802595557168,181.882209746276,200.48941524781,Up
