Gene	Pi-score
ALKBH4	0.166822949
ALKBH5	0.010199046
ALKBH6	-0.007691558
ALKBH7	-0.055814307
ALKBH8	-0.040114088
ALLC	-0.001638424
ALLC	-0.001153892
ALMS1	0.19210203
ALMS1P1	0.000713685
ALOX12	-0.753069865
ALOX12B	4.47E-05
ALOX12P2	0.006712409
ALOX15	-0.080340208
ALOX15	-0.039528036
ALOX15B	-0.469435688
ALOX15B	0.014846215
ALOX15B	0.009582414
ALOX5	0.309791385
ALOX5	-0.011180539
ALOX5AP	-1.287102559
ALOXE3	0.008593937
ALPI	0.027988302
ALPK1	0.028450356
ALPK2	-0.834223796
ALPK3	0.016380107
ALPL	0.103144035
ALPP	0.589722427
ALPPL2	0.006063851
ALS2	-0.001982401
ALS2CL	-0.009402777
ALS2CL	3.02E-08
ALS2CR11	-0.009250823
ALS2CR12	0.264559439
ALX1	0.048614647
ALX1	-0.00064669
ALX3	-0.295329405
ALX3	-0.004093704
ALX4	-0.014285278
ALYREF	-0.184034171
ALYREF	-0.023489655
AMACR	-0.237759299
AMACR	-0.016983735
AMACR	-0.003238303
AMBN	-0.049805161
AMBN	-0.003054959
AMBN	0.001036522
AMBP	8.66E-05
AMBRA1	-0.047243527
AMD1	0.627093353
AMDHD1	-0.021294768
AMDHD2	-0.040971674
AMELX	0.003575515
AMELY	0.102141383
AMER1	-0.309355111
AMER1	-0.107169689
AMER2	-0.027495016
AMER2	-0.00200213
AMER2	-0.000215021
AMER3	-0.302466312
AMER3	0.038841387
AMER3	0.001679099
AMFR	-0.000309245
AMFR	0.000740646
AMH	0.006944446
AMHR2	0.024349127
AMIGO1	2.98E-05
AMIGO2	-0.139451733
AMIGO3	-0.040409103
AMMECR1	0.325408703
AMMECR1	-0.185345878
AMMECR1	-0.004656213
AMMECR1L	0.37562833
AMN	0.085924595
AMOT	-0.00115299
AMOTL1	0.026265631
AMOTL2	0.341369859
AMPD1	0.003427891
AMPD2	0.004899774
AMPD2	0.000392388
AMPD2	0.000322956
AMPD3	0.043483285
